,Title,Company,Location,Post_Date,URL,Current Status,Source,Description
456,Reporter/Producer_News,Nexstar Broadcasting,"Waco, TX",2018-10-26 17:38:54,https://www.indeed.com/viewjob?jk=a2b44d1fdb074532,NaN,indeed,NaN
457,Writer/Producer (Part-time),Tribune Media Company,"Los Angeles, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=9ef686fd539e84c7,NaN,indeed,NaN
458,Reporter II CMGO,Cox Media Group,"Dayton, OH",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=1ed4eb582bc991bd,NaN,indeed,NaN
459,Producer,TEGNA,"Seattle, WA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=fe42be7d8b9ba20c,NaN,indeed,NaN
460,"Analyst, Infrastructure & Operations",Forrester,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=c22e180c3c61e2f6,NaN,indeed,2.0
461,Associate Director,Milken Institute,"Santa Monica, CA 90401",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=0924498f2849e9ef,NaN,indeed,NaN
462,Front-End Developer,ProtonMail,"San Francisco, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=cb5fb9fdc9df809d,NaN,indeed,NaN
463,Executive Editor,AccuWeather,"State College, PA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=dc643a838797ff91,NaN,indeed,3.0
464,Weekend News Anchor,Nexstar Broadcasting,"Topeka, KS",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=c9f85fb0b691729e,NaN,indeed,NaN
465,PR Manager AWS,Amazon.com,"Seattle, WA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=a68fc0a402bd0321,NaN,indeed,NaN
466,Audience Engagement Producer,A. H. Belo Corporation,"Dallas, TX 75201 (City Center District area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=0123635ffbe1698b,NaN,indeed,NaN
467,Graphics Editor,Dow Jones,"New York, NY 10176 (Murray Hill area)",2018-10-30 17:38:56,https://www.indeed.com/viewjob?jk=0e3fa10a485e2eca,NaN,indeed,1.0
468,KPBS News Producer,SDSU Research Foundation,"San Diego, CA",2018-10-24 17:38:56,https://www.indeed.com/viewjob?jk=a02e734af687f1ba,NaN,indeed,NaN
469,Media Relations and Marketing Associate,American Enterprise Institute,"Washington, DC 20036 (Downtown area)",2018-10-27 17:38:56,https://www.indeed.com/viewjob?jk=16545766d9bbf567,NaN,indeed,NaN
470,"Executive Producer, Audio & Podcasts",TEGNA,"McLean, VA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=847f0700af9c88d9,NaN,indeed,NaN
471,Media Relations Specialist,Columbia University,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=1201129de583f6a0,NaN,indeed,NaN
472,"Japanese Moments ​Curator, New York",Twitter,"New York, NY",2018-10-18 17:38:57,https://www.indeed.com/viewjob?jk=389dbf3deec28fd3,NaN,indeed,NaN
473,Digital Product Owner,Green Tech Media,"New York, NY",2018-11-10 17:38:57,https://www.indeed.com/viewjob?jk=1c235fb3b29e6017,NaN,indeed,2.0
474,"Senior Associate, Satellite Events, Women Deliver 2019 Conference",Women Deliver,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=f33bbbb19ab7e8b9,NaN,indeed,NaN
475,Senior Video Editor,The New York Times,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=dbf92af605dab4c0,NaN,indeed,NaN
476,"Senior Content Managing Editor, Development",Florida International University,"Miami, FL",2018-11-03 17:38:57,https://www.indeed.com/viewjob?jk=1e6c2b8217b5baea,NaN,indeed,1.0
477,Blockchain Developer,ProtonMail,"San Francisco, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=65b5fdaacd52e0f6,NaN,indeed,NaN
478,"Editor, Banking News",S&P Global,"Arlington, VA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=4d602daf75951437,NaN,indeed,3.0
479,Director of Resource Equity,Education Trust,"Washington, DC 20005 (Logan Circle area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=74f83f72fe9f48f0,NaN,indeed,2.0
480,Senior Data Reporter,Southern Poverty Law Center,"Atlanta, GA 30317 (Edgewood-Kirkwood area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=386fdcab382a0483,NaN,indeed,14.0
